tau_hat,age,female,post,age_sq,educ_0,educ_1,educ_2,educ_3
-0.3973622284189354,21.0,0.0,1,441.0,1,0,0,0
-0.2882898584202641,31.0,0.0,0,961.0,1,0,0,0
-0.12361399174633897,42.0,0.0,1,1764.0,1,0,0,0
-0.2943282278890678,23.5,0.0,1,552.25,0,1,0,0
-0.15075907005746597,46.5,0.0,1,2162.25,0,1,0,0
-0.35262722453386564,40.5,0.0,0,1640.25,1,0,0,0
-0.3247173114901551,55.5,0.0,1,3080.25,0,1,0,0
-0.11873911683261272,53.5,0.0,1,2862.25,1,0,0,0
-0.3664012875253203,31.5,0.0,1,992.25,0,1,0,0
-0.9145579333589846,29.0,0.0,0,841.0,0,1,0,0
0.06164081951923318,26.5,0.0,0,702.25,1,0,0,0
-0.10447091554961621,35.0,0.0,0,1225.0,1,0,0,0
-0.20255098102022734,24.5,0.0,1,600.25,1,0,0,0
0.07741915707799549,45.5,0.0,1,2070.25,1,0,0,0
-0.10447091554961621,35.0,0.0,0,1225.0,1,0,0,0
-0.33198101613426306,54.5,0.0,1,2970.25,1,0,0,0
-0.45940900777745314,33.0,0.0,0,1089.0,0,1,0,0
-0.22455765879528078,24.0,0.0,0,576.0,1,0,0,0
-0.06506206020041543,47.5,0.0,1,2256.25,1,0,0,0
-0.40044322339646743,34.5,0.0,1,1190.25,1,0,0,0
-0.20498794076804736,48.0,0.0,1,2304.0,0,1,0,0
-0.13126339716282517,49.0,0.0,1,2401.0,1,0,0,0
-0.1856947092719589,42.0,0.0,1,1764.0,0,1,0,0
-0.12361399174633897,42.0,0.0,1,1764.0,1,0,0,0
-0.19884141910479428,27.0,0.0,1,729.0,1,0,0,0
-0.2296876820300732,57.5,0.0,1,3306.25,0,1,0,0
-0.2560644057422908,42.0,0.0,0,1764.0,1,0,0,0
-0.3247173114901551,55.5,0.0,1,3080.25,0,1,0,0
-0.19884141910479428,27.0,0.0,1,729.0,1,0,0,0
-0.7526284582034795,33.5,0.0,1,1122.25,1,0,0,0
-0.4673163204549078,50.5,0.0,0,2550.25,1,0,0,0
-0.5665881611605488,30.5,0.0,0,930.25,0,1,0,0
-0.2205042844195577,38.0,0.0,1,1444.0,0,1,0,0
-0.42125045606316147,38.5,0.0,0,1482.25,0,1,0,0
-0.1860309602308109,44.0,0.0,0,1936.0,1,0,0,0
-0.464415444498796,35.5,0.0,0,1260.25,0,1,0,0
-0.15299297176712712,41.5,0.0,1,1722.25,1,0,0,0
-0.18255604041591156,42.5,0.0,1,1806.25,1,0,0,0
0.2379341969243415,43.5,0.0,1,1892.25,0,0,1,0
-0.3377881738984913,56.5,0.0,1,3192.25,0,1,0,0
0.0037244870439176797,28.5,0.0,1,812.25,1,0,0,0
-0.5907487212887711,34.0,0.0,0,1156.0,0,0,1,0
-0.30987893043235515,54.0,0.0,0,2916.0,1,0,0,0
-0.47427390131831887,53.0,0.0,0,2809.0,1,0,0,0
-0.20498794076804736,48.0,0.0,1,2304.0,0,1,0,0
-0.5445672850180343,23.0,0.0,0,529.0,0,1,0,0
-0.4270639259559633,37.5,0.0,1,1406.25,1,0,0,0
-0.37834579082713427,40.5,0.0,1,1640.25,0,0,1,0
-0.13805237240395232,44.5,0.0,1,1980.25,1,0,0,0
-0.2664928798226669,43.5,0.0,1,1892.25,0,1,0,0
-0.33566122406265647,65.0,0.0,1,4225.0,1,0,0,0
-0.59582040312664,39.5,0.0,1,1560.25,1,0,0,0
-0.4958196153334715,35.5,0.0,1,1260.25,0,0,1,0
-0.6370311073134032,35.0,0.0,1,1225.0,1,0,0,0
-0.28477591075188646,54.0,0.0,0,2916.0,0,1,0,0
-0.1860309602308109,44.0,0.0,0,1936.0,1,0,0,0
-0.048406968620084784,45.0,0.0,1,2025.0,1,0,0,0
-0.2749035430889537,52.5,0.0,0,2756.25,0,1,0,0
-0.13805237240395232,44.5,0.0,1,1980.25,1,0,0,0
-0.06635910893483285,47.0,0.0,1,2209.0,1,0,0,0
-0.06635910893483285,47.0,0.0,1,2209.0,1,0,0,0
-0.022126689759137185,20.5,0.0,0,420.25,0,0,1,0
0.06164081951923318,26.5,0.0,0,702.25,1,0,0,0
-0.44816563258917713,45.5,0.0,0,2070.25,0,1,0,0
-0.5199663142138878,34.5,0.0,1,1190.25,0,1,0,0
-0.15075907005746597,46.5,0.0,1,2162.25,0,1,0,0
0.07741915707799549,45.5,0.0,1,2070.25,1,0,0,0
-0.5994151369627907,29.0,0.0,0,841.0,1,0,0,0
-0.29528139534731523,25.0,0.0,0,625.0,0,1,0,0
-0.4688425472850989,39.5,0.0,1,1560.25,0,1,0,0
-0.17072066988376622,63.0,0.0,1,3969.0,0,1,0,0
-0.4338027783760157,44.5,0.0,0,1980.25,1,0,0,0
-0.3730554049711295,27.5,0.0,0,756.25,1,0,0,0
-0.3402447002160697,56.5,0.0,0,3192.25,0,1,0,0
-0.11155374505034987,60.5,0.0,1,3660.25,1,0,0,0
-0.30103116986328626,38.5,0.0,1,1482.25,1,0,0,0
-0.37714460484814855,21.5,0.0,0,462.25,1,0,0,0
0.017733976677938426,48.5,0.0,1,2352.25,0,0,1,0
-0.4388318763910615,36.0,0.0,1,1296.0,1,0,0,0
-0.2296876820300732,57.5,0.0,1,3306.25,0,1,0,0
-0.13805237240395232,44.5,0.0,1,1980.25,1,0,0,0
-0.36997382019529484,41.0,0.0,1,1681.0,1,0,0,0
-0.24612372758622875,30.0,0.0,1,900.0,1,0,0,0
-0.1529142723609156,43.5,0.0,0,1892.25,1,0,0,0
-0.23098550651223632,64.0,0.0,1,4096.0,1,0,0,0
-0.2536933492870605,36.0,0.0,0,1296.0,1,0,0,0
-0.40044322339646743,34.5,0.0,1,1190.25,1,0,0,0
-0.8635648331166041,30.5,0.0,1,930.25,0,1,0,0
-0.09811693933755167,27.0,0.0,0,729.0,1,0,0,0
-0.35948650510640956,40.0,0.0,1,1600.0,1,0,0,0
-0.20677936375367006,46.0,0.0,1,2116.0,1,0,0,0
-0.6449470158861876,63.0,0.0,0,3969.0,1,0,0,0
-0.0877073577266758,28.0,0.0,1,784.0,1,0,0,0
-0.5000912316960597,30.0,0.0,0,900.0,1,0,0,0
-0.22061331183332453,50.5,0.0,0,2550.25,0,1,0,0
-0.5168298913300747,59.0,0.0,1,3481.0,1,0,0,0
-0.18766444382315947,24.5,0.0,0,600.25,1,0,0,0
-0.3737453548685846,44.0,0.0,1,1936.0,0,1,0,0
-0.30219474074364433,43.0,0.0,1,1849.0,1,0,0,0
-0.09811693933755167,27.0,0.0,0,729.0,1,0,0,0
-0.3297146821602085,25.0,0.0,0,625.0,1,0,0,0
0.025767892479824,21.5,0.0,0,462.25,0,0,1,0
-0.1529142723609156,43.5,0.0,0,1892.25,1,0,0,0
-0.36997382019529484,41.0,0.0,1,1681.0,1,0,0,0
-0.430692864367313,26.0,0.0,0,676.0,0,1,0,0
-0.3423711247707251,24.0,0.0,0,576.0,0,1,0,0
-0.21668932405359173,20.0,0.0,0,400.0,0,1,0,0
-0.048406968620084784,45.0,0.0,1,2025.0,1,0,0,0
0.28894441230963425,29.0,0.0,1,841.0,1,0,0,0
-0.24605428429943801,44.0,0.0,1,1936.0,1,0,0,0
-0.17322135199946567,25.5,0.0,1,650.25,1,0,0,0
-0.17072066988376622,63.0,0.0,1,3969.0,0,1,0,0
-0.28703866616792784,27.0,0.0,1,729.0,0,1,0,0
-0.10399957115441834,50.5,0.0,1,2550.25,0,1,0,0
-0.13805237240395232,44.5,0.0,1,1980.25,1,0,0,0
